date,temperature,weather,wind,humidity,barometer,visibility,time
2021-01-01,22,Scattered clouds.,15 km/h,76,1014 mbar,10,07:00
2021-01-01,26,Partly sunny.,15 km/h,61,1014 mbar,10,10:00
2021-01-01,28,Partly sunny.,20 km/h,58,1012 mbar,10,13:00
2021-01-01,22,Light rain. Overcast.,22 km/h,95,1012 mbar,5,16:00
2021-01-01,22,Passing clouds.,11 km/h,81,1014 mbar,7,19:00
2021-01-01,22,Passing clouds.,11 km/h,77,1015 mbar,7,22:00
2021-01-02,22,Overcast.,No wind,77,1014 mbar,10,07:00
2021-01-02,26,Partly sunny.,7 km/h,58,1015 mbar,10,10:00
2021-01-02,27,Partly sunny.,19 km/h,57,1013 mbar,10,13:00
2021-01-02,28,Overcast.,19 km/h,57,1011 mbar,10,16:00
2021-01-02,23,Overcast.,19 km/h,84,1013 mbar,7,19:00
2021-01-02,22,Light rain. Overcast.,9 km/h,92,1015 mbar,7,22:00
2021-01-03,22,Overcast.,9 km/h,78,1014 mbar,7,01:00
2021-01-03,21,Overcast.,No wind,96,1013 mbar,5,04:00
2021-01-03,23,Scattered clouds.,15 km/h,73,1014 mbar,7,07:00
2021-01-03,27,Scattered clouds.,20 km/h,57,1014 mbar,10,10:00
2021-01-03,29,Partly sunny.,20 km/h,57,1012 mbar,10,13:00
2021-01-03,24,Overcast.,19 km/h,73,1012 mbar,6,16:00
2021-01-03,21,Light rain. Overcast.,6 km/h,92,1014 mbar,5,19:00
2021-01-03,21,Passing clouds.,7 km/h,92,1015 mbar,6,22:00
2021-01-04,21,Scattered clouds.,No wind,92,1014 mbar,5,07:00
2021-01-04,26,Scattered clouds.,13 km/h,70,1014 mbar,8,10:00
2021-01-04,25,Partly sunny.,19 km/h,74,1012 mbar,8,13:00
2021-01-04,22,Thundershowers. Overcast.,9 km/h,98,1012 mbar,4,16:00
2021-01-04,21,Light rain. Overcast.,9 km/h,96,1014 mbar,5,19:00
2021-01-04,21,Overcast.,13 km/h,91,1014 mbar,6,22:00
2021-01-05,21,Overcast.,No wind,96,1014 mbar,5,07:00
2021-01-05,25,Partly sunny.,20 km/h,77,1014 mbar,8,10:00
2021-01-05,27,Partly sunny.,19 km/h,67,1012 mbar,8,13:00
2021-01-05,23,Overcast.,22 km/h,82,1011 mbar,7,16:00
2021-01-05,22,Overcast.,19 km/h,89,1014 mbar,8,19:00
2021-01-05,22,Overcast.,6 km/h,89,1015 mbar,5,22:00
2021-01-06,21,Overcast.,No wind,94,1013 mbar,5,01:00
2021-01-06,21,Overcast.,13 km/h,93,1012 mbar,4,04:00
2021-01-06,22,Overcast.,6 km/h,87,1014 mbar,5,07:00
2021-01-06,26,Partly sunny.,13 km/h,69,1013 mbar,8,10:00
2021-01-06,28,Partly sunny.,22 km/h,62,1011 mbar,10,13:00
2021-01-06,25,Thunderstorms. Partly sunny.,28 km/h,74,1010 mbar,7,16:00
2021-01-06,24,Overcast.,15 km/h,77,1013 mbar,5,19:00
2021-01-06,22,Light rain. Overcast.,11 km/h,93,1012 mbar,5,22:00
2021-01-07,21,Fog.,No wind,98,1012 mbar,4,04:00
2021-01-07,21,Fog.,No wind,99,1013 mbar,3,07:00
2021-01-07,23,Overcast.,11 km/h,83,1013 mbar,6,10:00
2021-01-07,25,Partly sunny.,17 km/h,76,1011 mbar,7,13:00
2021-01-07,26,Partly sunny.,15 km/h,69,1010 mbar,8,16:00
2021-01-07,23,Passing clouds.,9 km/h,75,1012 mbar,7,19:00
2021-01-07,22,Passing clouds.,9 km/h,91,1013 mbar,6,22:00
2021-01-08,22,Partly sunny.,No wind,95,1014 mbar,3,07:00
2021-01-08,27,Scattered clouds.,19 km/h,61,1014 mbar,8,10:00
2021-01-08,26,Partly sunny.,24 km/h,65,1012 mbar,10,13:00
2021-01-08,22,Passing clouds.,7 km/h,92,1012 mbar,5,19:00
2021-01-08,22,Light rain. Passing clouds.,No wind,95,1014 mbar,5,22:00
2021-01-09,22,Overcast.,No wind,99,1012 mbar,6,01:00
2021-01-09,21,Fog.,No wind,99,1012 mbar,2,04:00
2021-01-09,22,Fog.,No wind,99,1013 mbar,2,07:00
2021-01-09,27,Scattered clouds.,17 km/h,66,1013 mbar,8,10:00
2021-01-09,28,Partly sunny.,28 km/h,63,1011 mbar,10,13:00
2021-01-09,21,Thundershowers. Overcast.,11 km/h,99,1011 mbar,3,16:00
2021-01-09,21,Light rain. Passing clouds.,13 km/h,99,1013 mbar,6,19:00
2021-01-09,30,Passing clouds.,6 km/h,58,1015 mbar,7,22:00
2021-01-10,20,Light rain. Passing clouds.,4 km/h,99,1011 mbar,3,04:00
2021-01-10,21,Fog.,7 km/h,98,1013 mbar,2,07:00
2021-01-10,25,Overcast.,11 km/h,80,1013 mbar,7,10:00
2021-01-10,26,Overcast.,13 km/h,75,1012 mbar,7,13:00
2021-01-10,22,Overcast.,13 km/h,91,1011 mbar,4,16:00
